ElapsedTime, Score, FitTime, AvgBranchTime, AvgConf, LeftBranches, RightBranches
0.6121506690979004, 0.8846153846153846, 0.6111507415771484, 0, 0, 0, 0
0.4160935878753662, 0.8333333333333334, 0.4140927791595459, 0.0010001659393310547, 0.08333333333333337, 0, 1
0.20604681968688965, 0.8181818181818182, 0.20404529571533203, 0.000500798225402832, 0.20454545454545453, 1, 1
0.6256697177886963, 1.0, 0.6226687431335449, 0.0006669362386067709, 0.23015873015873015, 1, 2
0.4270951747894287, 0.9375, 0.42409539222717285, 0.000500023365020752, 0.046875, 1, 3
0.18804359436035156, 1.0, 0.18604183197021484, 0.0005004405975341797, 0.0625, 0, 2
0.6401505470275879, 0.9791666666666666, 0.6401505470275879, 0.0, 0.125, 1, 0
0.4399287700653076, 0.9102564102564102, 0.43793177604675293, 0.00033346811930338543, 0.08956916099773243, 2, 1
0.2829151153564453, 1.0, 0.27991485595703125, 0.0003333091735839844, 0.09562841530054644, 0, 3
0.46910595893859863, 1.0, 0.46610569953918457, 0.00040001869201660155, 0.10645161290322583, 1, 4
0.3144834041595459, 0.8857142857142857, 0.3124828338623047, 0.00020008087158203126, 0.12857142857142856, 2, 3
0.5974633693695068, 0.8428571428571429, 0.5944633483886719, 0.00033334891001383465, 0.09999999999999999, 2, 4
0.13803386688232422, 1.0, 0.1340329647064209, 0.0004286766052246094, 0.10714285714285714, 2, 5
0.6181952953338623, 0.8666666666666667, 0.6151943206787109, 0.0003332694371541341, 0.13888888888888887, 1, 5
0.4504554271697998, 0.9117647058823529, 0.4484546184539795, 0.00033346811930338543, 0.11764705882352942, 3, 3
0.3560807704925537, 0.8214285714285714, 0.35307860374450684, 0.0003752708435058594, 0.08482142857142855, 3, 5
0.354081392288208, 0.8833333333333333, 0.350081205368042, 0.00042860848563058037, 0.08864027538726335, 1, 6
0.15305256843566895, 0.7142857142857143, 0.1500530242919922, 0.00033322970072428387, 0.11904761904761903, 2, 4
0.29906725883483887, 1.0, 0.29706692695617676, 0.00028576169695172993, 0.11904761904761905, 2, 5
0.2540566921234131, 1.0, 0.2520558834075928, 0.00025022029876708984, 0.13461538461538458, 2, 2
0.43109631538391113, 0.8170731707317073, 0.4290962219238281, 0.0005002021789550781, 0.03658536585365854, 2, 0
0.4541022777557373, 0.8461538461538461, 0.45110154151916504, 0.0005002021789550781, 0.10319148936170212, 3, 1
0.2980673313140869, 0.8092105263157895, 0.29506635665893555, 0.0003751218318939209, 0.07401315789473686, 1, 7
0.20604586601257324, 0.6666666666666666, 0.20304536819458008, 0.0003750622272491455, 0.09090909090909091, 2, 6
0.41709303855895996, 0.9571428571428572, 0.41509246826171875, 0.00028579575674874444, 0.05918367346938774, 3, 4
0.2690608501434326, 0.875, 0.26605963706970215, 0.00033346811930338543, 0.08207070707070707, 3, 6
0.573645830154419, 0.9565217391304348, 0.5716450214385986, 0.0003333886464436849, 0.12318840579710144, 2, 1
0.28006482124328613, 0.8928571428571429, 0.2760632038116455, 0.00025016069412231445, 0.1764705882352941, 3, 5
0.4821584224700928, 0.8846153846153846, 0.4791581630706787, 0.0005001425743103027, 0.1153846153846154, 2, 2
0.3706812858581543, 0.6835443037974683, 0.36768054962158203, 0.00030007362365722654, 0.07468354430379746, 3, 7
0.35308003425598145, 0.9117647058823529, 0.3500792980194092, 0.0004286766052246094, 0.10578661844484628, 3, 4
0.2560572624206543, 1.0, 0.2540569305419922, 0.0002499818801879883, 0.1111111111111111, 0, 4
0.3580811023712158, 0.9464285714285714, 0.3540792465209961, 0.0003751516342163086, 0.1294642857142857, 4, 4
0.2250502109527588, 1.0, 0.22104978561401367, 0.0003333356645372179, 0.09649122807017545, 4, 5
0.4961116313934326, 0.9117647058823529, 0.4921109676361084, 0.0004445181952582465, 0.07824316463059919, 5, 4
0.1510331630706787, 1.0, 0.1470324993133545, 0.0003750920295715332, 0.16666666666666669, 3, 5
0.4801149368286133, 1.0, 0.47811460494995117, 0.0005000829696655273, 0.13888888888888892, 1, 1
0.13947153091430664, 1.0, 0.13747096061706543, 0.0005001425743103027, 0.10714285714285716, 1, 3
0.32410645484924316, 1.0, 0.3191061019897461, 0.0004444652133517795, 0.08573388203017834, 4, 5
0.3709218502044678, 0.85, 0.3679213523864746, 0.000250011682510376, 0.091796875, 2, 6
0.17303848266601562, 0.71875, 0.1690385341644287, 0.0003333621554904514, 0.08333333333333333, 2, 7
0.27005934715270996, 0.8392857142857143, 0.2650585174560547, 0.000400090217590332, 0.06666666666666665, 5, 5
0.2830638885498047, 0.9473684210526315, 0.2780628204345703, 0.000400090217590332, 0.1, 4, 6
0.4200937747955322, 1.0, 0.41709446907043457, 0.00039987564086914064, 0.09130434782608694, 4, 1
0.26805996894836426, 0.6583333333333333, 0.26606035232543945, 0.00020008087158203126, 0.05333333333333333, 3, 2
0.34026145935058594, 0.9166666666666666, 0.3362598419189453, 0.00033346811930338543, 0.0839243498817967, 3, 6
0.3650825023651123, 0.8611111111111112, 0.36408233642578125, 0.00020003318786621094, 0.05454545454545452, 0, 5
0.35908055305480957, 0.7105263157894737, 0.35507869720458984, 0.00033352110120985244, 0.08302122347066171, 1, 8
